idx	status	level	score	techniques
1	stuck	-	4080	Locked Candidates Type 1 (Pointing)*5, 隐藏数对(Hidden Pair)*1, Naked Pair*1, 双线风筝(2-String Kite)*1, W-Wing*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, 隐式矩形(Hidden Rectangle)*1, Almost Locked Set XZ-Rule*3, Forcing Chain Contradiction*3
2	stuck	-	2276	隐藏唯一数(Hidden Single)*4, Locked Candidates Type 1 (Pointing)*2, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*3
3	stuck	-	3296	Naked Single*3, Full House*1, 隐藏唯一数(Hidden Single)*5, Locked Candidates Type 2 (Claiming)*2, 双线风筝(2-String Kite)*1, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*4, Sue de Coq*1, Locked Candidates Type 1 (Pointing)*1, Naked Pair*1, Discontinuous Nice Loop*1
4	stuck	-	2624	隐藏唯一数(Hidden Single)*6, Locked Candidates Type 1 (Pointing)*1, Naked Triple*1, Discontinuous Nice Loop*2, Naked Pair*1, W-Wing*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set Chain*1, Forcing Chain Contradiction*2
5	stuck	-	5446	隐藏唯一数(Hidden Single)*4, Finned Swordfish*1, Locked Candidates Type 1 (Pointing)*1, Discontinuous Nice Loop*3, Forcing Chain Contradiction*8, 成组不连续环(Grouped Discontinuous Nice Loop)*1
6	solved	极端	5178	Naked Single*20, Full House*21, 隐藏唯一数(Hidden Single)*11, 双线风筝(2-String Kite)*1, Finned X-Wing*1, Discontinuous Nice Loop*3, Forcing Chain Contradiction*4, Naked Pair*2, X-Wing*1, AIC*3, 摩天楼(Skyscraper)*1, Sashimi X-Wing*1, Locked Candidates Type 1 (Pointing)*1, Locked Candidates Type 2 (Claiming)*1, XY链(XY-Chain)*1
7	solved	极端	5652	隐藏唯一数(Hidden Single)*14, Locked Candidates Type 1 (Pointing)*7, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*3, Locked Candidates Type 2 (Claiming)*2, Discontinuous Nice Loop*4, Naked Single*19, XYZ-Wing*1, AIC*1, XY-Wing*2, 双线风筝(2-String Kite)*2, XY链(XY-Chain)*1, Naked Pair*2, Full House*20, W-Wing*1
8	solved	极端	3878	隐藏唯一数(Hidden Single)*14, Forcing Chain Contradiction*1, 隐式矩形(Hidden Rectangle)*1, Discontinuous Nice Loop*5, Naked Single*18, 成组不连续环(Grouped Discontinuous Nice Loop)*2, 成组 AIC*1, Locked Candidates Type 1 (Pointing)*3, 摩天楼(Skyscraper)*1, Locked Candidates Type 2 (Claiming)*1, 双线风筝(2-String Kite)*1, Full House*20, W-Wing*1
9	solved	极端	7564	隐藏唯一数(Hidden Single)*11, Locked Candidates Type 1 (Pointing)*2, Locked Candidates Type 2 (Claiming)*1, X-Wing*3, Discontinuous Nice Loop*8, Naked Single*24, AIC*2, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Forcing Chain Contradiction*1, Almost Locked Set XY-Wing*4, 空矩形(Empty Rectangle)*1, Almost Locked Set Chain*1, 隐藏数对(Hidden Pair)*1, Naked Triple*2, Locked Pair*1, W-Wing*1, Full House*21
10	stuck	-	7008	隐藏唯一数(Hidden Single)*6, 空矩形(Empty Rectangle)*2, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*9, Discontinuous Nice Loop*3, 隐式矩形(Hidden Rectangle)*1, Naked Single*1, Finned X-Wing*1, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Naked Triple*2, Locked Candidates Type 1 (Pointing)*1
11	solved	极端	13056	隐藏唯一数(Hidden Single)*10, Locked Candidates Type 1 (Pointing)*6, 隐藏数对(Hidden Pair)*1, Discontinuous Nice Loop*7, Almost Locked Set XY-Wing*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set Chain*1, Finned X-Wing*1, Forcing Chain Contradiction*13, Naked Triple*1, Naked Single*25, XYZ-Wing*1, Forcing Chain Verity*1, Locked Candidates Type 2 (Claiming)*1, Continuous Nice Loop*1, Naked Pair*3, AIC*1, 摩天楼(Skyscraper)*1, 三链列(Swordfish)*1, Sashimi Swordfish*1, Full House*19, W-Wing*1
12	stuck	-	1854	隐藏唯一数(Hidden Single)*11, Locked Candidates Type 1 (Pointing)*4, Naked Triple*1, 空矩形(Empty Rectangle)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Forcing Chain Contradiction*2
13	solved	极端	12252	隐藏唯一数(Hidden Single)*3, Locked Candidates Type 1 (Pointing)*8, Naked Triple*2, Finned Jellyfish*1, 成组不连续环(Grouped Discontinuous Nice Loop)*6, Naked Single*34, AIC*3, Discontinuous Nice Loop*8, Forcing Chain Contradiction*6, Almost Locked Set Chain*3, Naked Pair*2, Almost Locked Set XZ-Rule*2, XYZ-Wing*1, Sue de Coq*1, Almost Locked Set XY-Wing*1, XY-Wing*1, 双线风筝(2-String Kite)*1, 成组连续环(Grouped Continuous Nice Loop)*1, Finned Swordfish*1, Full House*21
14	solved	极端	5226	Naked Single*23, Full House*21, 隐藏唯一数(Hidden Single)*10, 隐式矩形(Hidden Rectangle)*1, Discontinuous Nice Loop*3, Forcing Chain Contradiction*2, Almost Locked Set XY-Wing*2, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Locked Candidates Type 2 (Claiming)*3, Almost Locked Set Chain*1, 双线风筝(2-String Kite)*2, Naked Pair*3, X-Wing*1, 摩天楼(Skyscraper)*2, XY-Wing*1, Locked Candidates Type 1 (Pointing)*1, W-Wing*1
15	solved	极端	2366	隐藏唯一数(Hidden Single)*11, Locked Candidates Type 1 (Pointing)*2, Locked Candidates Type 2 (Claiming)*5, Naked Triple*1, Forcing Chain Contradiction*1, Finned Swordfish*1, Sue de Coq*1, XY链(XY-Chain)*1, Naked Single*24, 双线风筝(2-String Kite)*1, 唯一性测试 3*1, Full House*19, W-Wing*1
16	stuck	-	778	隐藏唯一数(Hidden Single)*7, Locked Candidates Type 1 (Pointing)*1, Finned X-Wing*1, Forcing Chain Contradiction*1
17	solved	极端	2544	Naked Single*23, Full House*21, 隐藏唯一数(Hidden Single)*12, Locked Candidates Type 1 (Pointing)*3, Locked Candidates Type 2 (Claiming)*3, X-Wing*1, Sue de Coq*1, Finned Swordfish*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Discontinuous Nice Loop*2, 隐式矩形(Hidden Rectangle)*1, 双线风筝(2-String Kite)*1, Naked Pair*1, 隐藏数对(Hidden Pair)*2
18	solved	极端	8436	隐藏唯一数(Hidden Single)*9, 双线风筝(2-String Kite)*2, 空矩形(Empty Rectangle)*2, X链(X-Chain)*1, AIC*1, 摩天楼(Skyscraper)*2, Discontinuous Nice Loop*5, Naked Pair*3, Forcing Chain Contradiction*5, Almost Locked Set XZ-Rule*2, Locked Candidates Type 1 (Pointing)*3, Locked Candidates Type 2 (Claiming)*1, Almost Locked Set XY-Wing*1, Almost Locked Set Chain*1, Naked Single*24, XYZ-Wing*2, 隐式矩形(Hidden Rectangle)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Locked Pair*2, Sue de Coq*1, XY-Wing*1, Full House*21
19	solved	极端	7130	隐藏唯一数(Hidden Single)*13, Locked Candidates Type 1 (Pointing)*9, Finned Swordfish*1, Finned Jellyfish*1, AIC*2, Discontinuous Nice Loop*3, 成组不连续环(Grouped Discontinuous Nice Loop)*5, Almost Locked Set Chain*1, Almost Locked Set XZ-Rule*4, Naked Triple*3, Naked Pair*1, Almost Locked Set XY-Wing*1, Naked Single*22, Locked Candidates Type 2 (Claiming)*1, 三链列(Swordfish)*1, Full House*20, 唯一性测试 4*1, 隐式矩形(Hidden Rectangle)*1, XY链(XY-Chain)*1, XY-Wing*1
20	stuck	-	3312	隐藏唯一数(Hidden Single)*3, Locked Candidates Type 2 (Claiming)*1, 双线风筝(2-String Kite)*1, 摩天楼(Skyscraper)*1, Discontinuous Nice Loop*2, 成组不连续环(Grouped Discontinuous Nice Loop)*1, XYZ-Wing*1, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*2, AIC*1, Almost Locked Set XY-Wing*1
21	stuck	-	4176	隐藏唯一数(Hidden Single)*3, Locked Candidates Type 1 (Pointing)*5, 双线风筝(2-String Kite)*2, 空矩形(Empty Rectangle)*1, Discontinuous Nice Loop*3, Naked Single*1, Finned Swordfish*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set XZ-Rule*1, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*3
