idx	status	level	score	techniques
1	solved	极端	5052	Locked Candidates Type 1 (Pointing)*5, 隐藏数对(Hidden Pair)*1, Naked Pair*1, 双线风筝(2-String Kite)*1, W-Wing*1, 成组不连续环(Grouped Discontinuous Nice Loop)*3, 隐式矩形(Hidden Rectangle)*1, Almost Locked Set XZ-Rule*3, Forcing Chain Contradiction*3, Forcing Net Verity*1, Naked Single*26, Full House*21, 隐藏唯一数(Hidden Single)*6
2	solved	极端	6354	隐藏唯一数(Hidden Single)*14, Locked Candidates Type 1 (Pointing)*4, 成组不连续环(Grouped Discontinuous Nice Loop)*3, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*3, Forcing Net Verity*1, 空矩形(Empty Rectangle)*1, 隐式矩形(Hidden Rectangle)*1, 成组 AIC*1, Discontinuous Nice Loop*1, Naked Single*17, Locked Candidates Type 2 (Claiming)*1, 双线风筝(2-String Kite)*2, AIC*2, Full House*20, W-Wing*2, 唯一性测试 4*1, Continuous Nice Loop*1
3	solved	极端	7346	Naked Single*23, Full House*20, 隐藏唯一数(Hidden Single)*11, Locked Candidates Type 2 (Claiming)*3, 双线风筝(2-String Kite)*2, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*5, Sue de Coq*1, Locked Candidates Type 1 (Pointing)*4, Naked Pair*2, Discontinuous Nice Loop*2, Forcing Net Verity*1, 摩天楼(Skyscraper)*1, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set XZ-Rule*1, W-Wing*2, Finned X-Wing*1, 隐式矩形(Hidden Rectangle)*1, 空矩形(Empty Rectangle)*1, AIC*1, XY-Wing*1, 唯一性测试 1*1
4	solved	极端	4924	隐藏唯一数(Hidden Single)*9, Locked Candidates Type 1 (Pointing)*5, Naked Triple*1, Discontinuous Nice Loop*4, Naked Pair*2, W-Wing*2, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set Chain*1, Forcing Chain Contradiction*2, Forcing Net Verity*1, Full House*19, Naked Single*28, 隐藏数对(Hidden Pair)*2, XY链(XY-Chain)*1
5	solved	极端	6728	隐藏唯一数(Hidden Single)*13, Finned Swordfish*1, Locked Candidates Type 1 (Pointing)*2, Discontinuous Nice Loop*3, Forcing Chain Contradiction*8, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Forcing Net Verity*1, Naked Single*18, Full House*21, X-Wing*1, Remote Pair*1
6	solved	极端	5178	Naked Single*20, Full House*21, 隐藏唯一数(Hidden Single)*11, 双线风筝(2-String Kite)*1, Finned X-Wing*1, Discontinuous Nice Loop*3, Forcing Chain Contradiction*4, Naked Pair*2, X-Wing*1, AIC*3, 摩天楼(Skyscraper)*1, Sashimi X-Wing*1, Locked Candidates Type 1 (Pointing)*1, Locked Candidates Type 2 (Claiming)*1, XY链(XY-Chain)*1
7	solved	极端	5652	隐藏唯一数(Hidden Single)*14, Locked Candidates Type 1 (Pointing)*7, 成组不连续环(Grouped Discontinuous Nice Loop)*1, Almost Locked Set XY-Wing*1, Forcing Chain Contradiction*3, Locked Candidates Type 2 (Claiming)*2, Discontinuous Nice Loop*4, Naked Single*19, XYZ-Wing*1, AIC*1, XY-Wing*2, 双线风筝(2-String Kite)*2, XY链(XY-Chain)*1, Naked Pair*2, Full House*20, W-Wing*1
8	solved	极端	3878	隐藏唯一数(Hidden Single)*14, Forcing Chain Contradiction*1, 隐式矩形(Hidden Rectangle)*1, Discontinuous Nice Loop*5, Naked Single*18, 成组不连续环(Grouped Discontinuous Nice Loop)*2, 成组 AIC*1, Locked Candidates Type 1 (Pointing)*3, 摩天楼(Skyscraper)*1, Locked Candidates Type 2 (Claiming)*1, 双线风筝(2-String Kite)*1, Full House*20, W-Wing*1
9	solved	极端	7564	隐藏唯一数(Hidden Single)*11, Locked Candidates Type 1 (Pointing)*2, Locked Candidates Type 2 (Claiming)*1, X-Wing*3, Discontinuous Nice Loop*8, Naked Single*24, AIC*2, 成组不连续环(Grouped Discontinuous Nice Loop)*4, Forcing Chain Contradiction*1, Almost Locked Set XY-Wing*4, 空矩形(Empty Rectangle)*1, Almost Locked Set Chain*1, 隐藏数对(Hidden Pair)*1, Naked Triple*2, Locked Pair*1, W-Wing*1, Full House*21
10	solved	极端	8020	隐藏唯一数(Hidden Single)*10, 空矩形(Empty Rectangle)*2, Almost Locked Set XZ-Rule*1, Forcing Chain Contradiction*9, Discontinuous Nice Loop*3, 隐式矩形(Hidden Rectangle)*1, Naked Single*25, Finned X-Wing*1, 成组不连续环(Grouped Discontinuous Nice Loop)*2, Naked Triple*3, Locked Candidates Type 1 (Pointing)*1, Forcing Net Verity*1, Full House*20
